rank,name,name_ascii,institution,country,gb_rank,leg_rank,n2p1_rank,tp_rank,member_problems,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
77,Alexander K. Zvonkin,Alexander K. Zvonkin,Université de Bordeaux,FR,,,19,,n2p1,5,7,6,,12,openalex,2020,2026,,,,
78,Régis de la Bretèche,Regis de la Breteche,Université Paris Cité,FR,,66,76,,leg+n2p1+tp,4,5,9,,14,openalex,2006,2025,,,,
79,Matt Visser,Matt Visser,Victoria University of Wellington,NZ,,20,,,leg,8,7,4,,,,2018,2025,,,,
80,J. P. Keating,J. P. Keating,University of Oxford,GB,,59,,44,leg+tp,7,7,142,,40,openalex,2006,2019,,,,
81,Richard A. Mollin,Richard A. Mollin,University of Calgary,CA,,,20,,n2p1,,,,,,,1988,2013,,,,
82,Giovanni Coppola,Giovanni Coppola,University of Salerno,IT,,,,20,tp,,21,62,,7,openalex,2019,2026,,,,
83,Gérald Tenenbaum,Gerald Tenenbaum,Institut Élie Cartan de Lorraine,FR,,,21,,n2p1,,,,,30,openalex,1990,2018,,,,
84,Tristan Freiberg,Tristan Freiberg,University of Waterloo,CA,,47,,66,leg+tp,5,3,9,,4,openalex,2010,2016,,,,
85,S. I. Dimitrov,S. I. Dimitrov,Technical University of Sofia,BG,31,,68,,gb+n2p1,11,10,22,,6,openalex,2017,2023,,,,
86,Imre Kátai,Imre Katai,Eötvös Loránd University,HU,78,,36,,gb+n2p1,,1,0,,15,openalex,1967,2015,,,,
87,Victor Zhenyu Guo,Victor Zhenyu Guo,Xi'an Jiaotong University,CN,42,54,,,gb+leg,4,7,5,,,,2025,2026,,,,
88,Yong-Gao Chen,Yong-Gao Chen,Nanjing Normal University,CN,33,,72,,gb+n2p1,,,,,,,2000,2024,,,,
89,H. A. Helfgott,H. A. Helfgott,Université Paris Cité,FR,55,,50,,gb+n2p1,6,10,223,,19,openalex,2003,2015,,,,
90,Felix Sidokhine,Felix Sidokhine,Independent,CA,,57,,63,leg+tp,4,6,1,,,,2014,2015,,,,
91,George Greaves,George Greaves,University of Wales,GB,,,25,,n2p1,,,,,,,1971,1992,,,,
92,Guangshi Lü,Guangshi Lu,Shandong University,CN,89,44,,,gb+leg,,10,62,,,,2004,2012,,,,
93,Koichi Kawada,Koichi Kawada,Iwate University,JP,46,,67,,gb+n2p1,,12,157,,9,openalex,1997,2019,,,,
94,D. Bazzanella,D. Bazzanella,Politecnico di Torino,IT,,60,,75,leg+tp,1,11,35,,,,2000,2013,,,,
95,Olivier Ramaré,Olivier Ramare,Aix-Marseille Université,FR,75,,,48,gb+tp,4,6,104,,15,openalex,1995,2022,,,,
96,Karin Halupczok,Karin Halupczok,Heinrich Heine University Düsseldorf,DE,47,,69,,gb+n2p1,9,11,27,,5,openalex,2005,2022,,,,
97,Jerzy Kaczorowski,Jerzy Kaczorowski,Adam Mickiewicz University in Poznań,PL,99,43,,,gb+leg,1,5,26,,19,openalex,1993,2019,,,,
98,Efrat Bank,Efrat Bank,Tel Aviv University,IL,,29,,,leg,5,4,42,,3,openalex,2017,2019,,,,
99,Alex Kontorovich,Alex Kontorovich,Rutgers University,US,,,51,98,n2p1+tp,4,7,45,,13,openalex,2005,2024,,,,
100,Edva Roditty-Gershon,Edva Roditty-Gershon,University of Bristol,GB,,62,,77,leg+tp,3,2,3,,,,2020,2022,,,,
